_input,_num,_widgetName,_source,_resultNumber,_pageUrl,album,album/_source,album/_title,album/_text,artist,rating
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,1,rym 300,rym 300,1,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/radiohead/ok_computer/,/release/album/radiohead/ok_computer/,[Album45],OK Computer,Radiohead,4.24
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,2,rym 300,rym 300,2,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/pink_floyd/the_dark_side_of_the_moon/,/release/album/pink_floyd/the_dark_side_of_the_moon/,[Album976],The Dark Side of the Moon,Pink Floyd,4.27
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,3,rym 300,rym 300,3,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/the_velvet_underground_nico/the_velvet_underground_and_nico_f1/,/release/album/the_velvet_underground_nico/the_velvet_underground_and_nico_f1/,[Album173],The Velvet Underground & Nico,The Velvet Underground; Nico,4.33
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,4,rym 300,rym 300,4,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/pink_floyd/wish_you_were_here/,/release/album/pink_floyd/wish_you_were_here/,[Album974],Wish You Were Here,Pink Floyd,4.30
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,5,rym 300,rym 300,5,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/the_beatles/abbey_road/,/release/album/the_beatles/abbey_road/,[Album12],Abbey Road,The Beatles,4.35
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,6,rym 300,rym 300,6,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/king_crimson/in_the_court_of_the_crimson_king_f40/,/release/album/king_crimson/in_the_court_of_the_crimson_king_f40/,[Album2328],In the Court of the Crimson King,King Crimson,4.28
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,7,rym 300,rym 300,7,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/the_beatles/revolver/,/release/album/the_beatles/revolver/,[Album206],Revolver,The Beatles,4.33
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,8,rym 300,rym 300,8,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/radiohead/kid_a/,/release/album/radiohead/kid_a/,[Album46],Kid A,Radiohead,4.15
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,9,rym 300,rym 300,9,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/led_zeppelin/led_zeppelin__iv_/,/release/album/led_zeppelin/led_zeppelin__iv_/,[Album43],Led Zeppelin [IV],Led Zeppelin,4.22
webpage/url:https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=|,10,rym 300,rym 300,10,https://rateyourmusic.com/customchart?page=1&chart_type=top&type=album&year=alltime&genre_include=1&include_child_genres=1&genres=&include_child_genres_chk=1&include=both&origin_countries=&limit=none&countries=,https://rateyourmusic.com/release/album/miles_davis/kind_of_blue/,/release/album/miles_davis/kind_of_blue/,[Album2571],Kind of Blue,Miles Davis,4.32
